goos: linux
goarch: arm64
pkg: github.com/axiomhq/simd-go
BenchmarkSIMD/fn=DotProductInt64/impl=Scalar/n=100    	31942578	        37.55 ns/op	42614.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=DotProductInt64/impl=Scalar/n=100    	31947564	        43.80 ns/op	36533.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=DotProductInt64/impl=Scalar/n=100    	26470605	        45.32 ns/op	35300.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=DotProductInt64/impl=SVE/n=100       	45466142	        26.41 ns/op	60586.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=DotProductInt64/impl=SVE/n=100       	45427902	        26.39 ns/op	60622.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=DotProductInt64/impl=SVE/n=100       	45464912	        26.39 ns/op	60624.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=DotProductInt64/impl=SVE/n=100       	45478977	        26.34 ns/op	60739.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=DotProductInt64/impl=SVE/n=100       	45569856	        26.33 ns/op	60764.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=DotProductInt64/impl=SVE/n=100       	45585022	        26.33 ns/op	60761.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=Scalar/n=100         	25493163	        47.08 ns/op	16992.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=Scalar/n=100         	25473442	        47.09 ns/op	16987.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=Scalar/n=100         	25470759	        47.08 ns/op	16993.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=Scalar/n=100         	25474014	        46.38 ns/op	17249.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=Scalar/n=100         	31941501	        37.54 ns/op	21307.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=Scalar/n=100         	31941904	        37.54 ns/op	21308.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=NEON/n=100           	45092766	        26.54 ns/op	30143.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=NEON/n=100           	45213244	        26.54 ns/op	30143.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=NEON/n=100           	45047541	        26.50 ns/op	30184.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=NEON/n=100           	45142387	        26.52 ns/op	30165.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=NEON/n=100           	45153813	        26.54 ns/op	30148.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=NEON/n=100           	45357891	        26.55 ns/op	30131.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=SVE/n=100            	56349392	        21.28 ns/op	37601.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=SVE/n=100            	56145000	        21.26 ns/op	37631.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=SVE/n=100            	56364378	        21.26 ns/op	37635.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=SVE/n=100            	56449909	        21.28 ns/op	37594.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=SVE/n=100            	56319819	        21.25 ns/op	37640.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=SumSqInt64/impl=SVE/n=100            	56561157	        21.22 ns/op	37704.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=Scalar/n=100         	25592926	        49.19 ns/op	16264.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=Scalar/n=100         	25838775	        46.25 ns/op	17298.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=Scalar/n=100         	25801564	        46.26 ns/op	17292.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=Scalar/n=100         	25927400	        46.26 ns/op	17294.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=Scalar/n=100         	25898400	        46.25 ns/op	17295.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=Scalar/n=100         	25884200	        46.25 ns/op	17297.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=NEON/n=100           	28006324	        42.88 ns/op	18658.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=NEON/n=100           	27915324	        42.89 ns/op	18654.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=NEON/n=100           	27993148	        42.87 ns/op	18662.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=NEON/n=100           	27979386	        42.85 ns/op	18668.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=NEON/n=100           	27876442	        42.87 ns/op	18661.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=NEON/n=100           	27954218	        43.06 ns/op	18578.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=SVE/n=100            	23033554	        51.10 ns/op	15655.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=SVE/n=100            	23632540	        51.18 ns/op	15629.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=SVE/n=100            	23658736	        51.12 ns/op	15648.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=SVE/n=100            	23710129	        51.16 ns/op	15636.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=SVE/n=100            	23542740	        51.28 ns/op	15599.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/worst/impl=SVE/n=100            	23470418	        51.23 ns/op	15614.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/best/impl=Scalar/n=100          	479346644	         2.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/best/impl=Scalar/n=100          	479338736	         2.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/best/impl=Scalar/n=100          	479197832	         2.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/best/impl=Scalar/n=100          	479222023	         2.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/best/impl=Scalar/n=100          	479291298	         2.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/best/impl=Scalar/n=100          	479373976	         2.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/best/impl=NEON/n=100            	332639107	         3.607 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/best/impl=NEON/n=100            	334769434	         3.584 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/best/impl=NEON/n=100            	334920008	         3.584 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/best/impl=NEON/n=100            	334896781	         3.584 ns/op	       0 B/op	       0 allocs/op
BenchmarkSIMD/fn=AnyAbsGreaterThan/best/impl=NEON/n=100            	334886464	         3.583 ns/op	       0 B/op	       0 allocs/op
